Was war deine peinlichste Situation?,Sing ein Lied laut vor der Gruppe.
Hast du jemals etwas gestohlen?,Rufe eine Person aus deinem Telefonbuch an und sage "Ich liebe dich".
Welche ist deine geheime Angewohnheit?,Mache 10 Liegestütze.
Was würdest du tun wenn du unsichtbar wärst?,Tausche dein Hemd mit der Person links von dir.
Hast du schon einmal für jemand anderen gesungen?,Tanz eine Minute lang ohne Musik.
Wenn du einen Tag das andere Geschlecht sein könntest was würdest du tun?,Iss einen Löffel Senf oder Ketchup.
Was war das lustigste Missgeschick das dir je passiert ist?,Imitiere ein Tier deiner Wahl.
Hast du ein peinliches Kindheitsfoto?,Schreibe eine Liebeserklärung an einen Gegenstand deiner Wahl.
Was ist dein seltsamster Tick?,Gib jemandem eine Handmassage.
Welche geheime Fähigkeit hast du?,Erzähle einen Witz in einer fremden Sprache.
Wovor hast du am meisten Angst?,Tanze wie ein verrückter Huhn für 1 Minute.
Was ist das Verrückteste das du je getan hast?,Stecke deine Hand in kaltes Wasser für 1 Minute.
Hast du schon einmal jemanden angelogen um dich aus der Verantwortung zu ziehen?,Baue aus Alltagsgegenständen eine Skulptur.
Welches ist dein Lieblingslied das du heimlich hörst?,Mache einen Handstand gegen die Wand.
Was war dein unangenehmster Moment in der Schule oder Arbeit?,Iss einen Teelöffel Zimt ohne zu trinken.
Welche Superkraft hättest du gerne und warum?,Spiele Luftgitarre zu einem Rocksong deiner Wahl.
Hast du schon mal in der Öffentlichkeit geweint?,Führe eine Unterhaltung mit einem imaginären Freund.
Was war der schlechteste Rat den du je bekommen hast?,Trage Lippenstift ohne Spiegel auf.
Wenn du auf eine einsame Insel müsstest wen würdest du mitnehmen?,Imitiere eine bekannte Persönlichkeit.
Was war der letzte Traum den du hattest?,Mache 5 Rad-Sprünge hintereinander.
Hast du schon einmal Essen probiert und es dann wieder ausgespuckt?,Stelle eine Szene aus deinem Lieblingsfilm nach.
Was ist deine seltsamste Essgewohnheit?,Trage deine Socken auf den Händen für eine Runde.
Wenn du unsichtbar wärst was würdest du als Erstes tun?,Binde dir eine Schürze um und tue so als würdest du kochen.
Was war das Peinlichste das deine Eltern je vor dir gemacht haben?,Rufe einen Pizzalieferdienst an und bestelle kein Essen.
Wenn du eine Zeitmaschine hättest wohin würdest du reisen?,Male ein Bild mit geschlossenen Augen.
Was ist deine größte unerfüllte Leidenschaft?,Flüstere ein Geheimnis deinem Kissen zu.
Wenn du für einen Tag ein Tier sein könntest welches wärst du?,Versuche auf einem Bein zu hüpfen bis du nicht mehr kannst.
